year,title,author,price,Shortlist/Longlist/Winner,ISBN-10,date,ISBN-13
2014,Sieben Sprünge vom Rand der Welt,Ulrike Draesner,Deutscher Buchpreis,Longlist,3641291348,10/6/2014,9783641291341
2014,Das Polykrates-Syndrom,Antonio Fian,Deutscher Buchpreis,Longlist,3854209509,10/6/2014,9783854209508
2014,Die Meisen von Uusimaa singen nicht mehr,Franz Friedrich,Deutscher Buchpreis,Longlist,310403155X,10/6/2014,9783104031552
2014,Am Fluss,Esther Kinsky,Deutscher Buchpreis,Longlist,3957570549,10/6/2014,9783957570543
2014,Zwei Herren am Strand,Michael Köhlmeier,Deutscher Buchpreis,Longlist,3446247599,10/6/2014,9783446247598
2014,Kleine Kassa,Martin Lechner,Deutscher Buchpreis,Longlist,3701744548,10/6/2014,9783701744541
2014,Kastelau,Charles Lewinsky,Deutscher Buchpreis,Longlist,3257611811,10/6/2014,9783257611816
2014,Unternehmer,Matthias Nawrat,Deutscher Buchpreis,Longlist,3644034915,10/6/2014,9783644034914
2014,Das Sandkorn,Christoph Poschenrieder,Deutscher Buchpreis,Longlist,3257604173,10/6/2014,9783257604177
2014,Vor dem Fest,Saša Stanišić,Deutscher Buchpreis,Longlist,3641133262,10/6/2014,9783641133269
2014,Nachkommen,Marlene Streeruwitz,Deutscher Buchpreis,Longlist,3104023220,10/6/2014,9783104023229
2014,Isabel,Feridun Zaimoglu,Deutscher Buchpreis,Longlist,3462307703,10/6/2014,9783462307702
2014,Der aufblasbare Kaiser,Michael Ziegelwagner,Deutscher Buchpreis,Longlist,364411501X,10/6/2014,9783644115019
2015,Die Erfindung der Roten Armee Fraktion durch einen manisch-depressiven Teenager im Sommer 1969,Frank Witzel,Deutscher Buchpreis,Winner,,10/12/2015,
2015,"Gehen, ging, gegangen",Jenny Erpenbeck,Deutscher Buchpreis,Shortlist,3641290902,10/12/2015,9783641290900
2015,Über den Winter,Rolf Lappert,Deutscher Buchpreis,Shortlist,3446250034,10/12/2015,9783446250031
2015,Wie Ihr wollt,Inger-Maria Mahlke,Deutscher Buchpreis,Shortlist,3827076226,10/12/2015,9783827076229
2015,Das bessere Leben,Ulrich Peltzer,Deutscher Buchpreis,Shortlist,3104007772,10/12/2015,9783104007779
2015,Eins im Andern,Monique Schwitter,Deutscher Buchpreis,Shortlist,3596037093,10/12/2015,9783596037094
2015,Baba Dunjas letzte Liebe,Alina Bronsky,Deutscher Buchpreis,Longlist,3462309722,10/12/2015,9783462309720
2015,Die Liebenden von Mantua,Ralph Dutli,Deutscher Buchpreis,Longlist,3835316834,10/12/2015,9783835316836
2015,Winters Garten,Valerie Fritsch,Deutscher Buchpreis,Longlist,3518466658,10/12/2015,9783518466650
2015,Eigentlich müssten wir tanzen,Heinz Helle,Deutscher Buchpreis,Longlist,3518758896,10/12/2015,9783518758892
2015,Aberland,Gertraud Klemm,Deutscher Buchpreis,Longlist,3854209444,10/12/2015,9783854209447
2015,Risiko,Steffen Kopetzky,Deutscher Buchpreis,Longlist,,10/12/2015,
2015,89/90,Peter Richter,Deutscher Buchpreis,Longlist,3641136946,10/12/2015,9783641136949
2015,Die Stunde zwischen Frau und Gitarre,Clemens J. Setz,Deutscher Buchpreis,Longlist,3518743007,10/12/2015,9783518743003
2015,Bodentiefe Fenster,Anke Stelling,Deutscher Buchpreis,Longlist,334624136X,10/12/2015,9783346241368
2015,Macht und Widerstand,Ilija Trojanow,Deutscher Buchpreis,Longlist,3104036047,10/12/2015,9783104036045
2015,Lucia Binar und die russische Seele,Vladimir Vertlib,Deutscher Buchpreis,Longlist,3552062823,10/12/2015,9783552062825
2015,Applaus für Bronikowski,Kai Weyand,Deutscher Buchpreis,Longlist,3835327658,10/12/2015,9783835327658
2015,Der Fuchs und Dr. Shimamura,Christine Wunnicke,Deutscher Buchpreis,Longlist,3937834990,10/12/2015,9783937834993
2015,Siebentürmeviertel,Feridun Zaimoglu,Deutscher Buchpreis,Longlist,3462309900,10/12/2015,9783462309904
2016,Widerfahrnis,Bodo Kirchhoff,Deutscher Buchpreis,Winner,3627022386,10/17/2016,9783627022389
2016,"Fremde Seele, dunkler Wald",Reinhard Kaiser-Mühlecker,Deutscher Buchpreis,Shortlist,3104035180,10/17/2016,9783104035185
2016,Skizze eines Sommers,André Kubiczek,Deutscher Buchpreis,Shortlist,3644120412,10/17/2016,9783644120419
2016,Die Welt im Rücken,Thomas Melle,Deutscher Buchpreis,Shortlist,3644100020,10/17/2016,9783644100022
2016,Ein langes Jahr,Eva Schmidt,Deutscher Buchpreis,Shortlist,,10/17/2016,
2016,Hool,Philipp Winkler,Deutscher Buchpreis,Shortlist,3841211518,10/17/2016,9783841211514
2016,Der Weg der Wünsche,Akos Doma,Deutscher Buchpreis,Longlist,3871348392,10/17/2016,9783871348396
2016,Apollokalypse,Gerhard Falkner,Deutscher Buchpreis,Longlist,3827078946,10/17/2016,9783827078940
2016,München,Ernst-Wilhelm Händler,Deutscher Buchpreis,Longlist,3104901449,10/17/2016,9783104901442
2016,Die Erziehung des Mannes,Michael Kumpfmüller,Deutscher Buchpreis,Longlist,3462315625,10/17/2016,9783462315622
2016,Drehtür,Katja Lange-Müller,Deutscher Buchpreis,Longlist,3462315846,10/17/2016,9783462315844
2016,Die Witwen,Dagmar Leupold,Deutscher Buchpreis,Longlist,3990270885,10/17/2016,9783990270882
2016,Das Pfingstwunder,Sibylle Lewitscharoff,Deutscher Buchpreis,Longlist,3518747681,10/17/2016,9783518747681
2016,"Ach, diese Lücke, diese entsetzliche Lücke",Joachim Meyerhoff,Deutscher Buchpreis,Longlist,346231503X,10/17/2016,9783462315035
2016,Am Rand,Hans Platzgumer,Deutscher Buchpreis,Longlist,3552057897,10/17/2016,9783552057890
2016,Rauschzeit,Arnold Stadler,Deutscher Buchpreis,Longlist,3104020698,10/17/2016,9783104020693
2016,Weit über das Land,Peter Stamm,Deutscher Buchpreis,Longlist,3104031363,10/17/2016,9783104031361
2016,Mein Vater war ein Mann an Land und im Wasser ein Walfisch,Michelle Steinbeck,Deutscher Buchpreis,Longlist,3857874694,10/17/2016,9783857874697
2016,Die Verteidigung des Paradieses,Thomas von Steinaecker,Deutscher Buchpreis,Longlist,3104030243,10/17/2016,9783104030241
2016,Weshalb die Herren Seesterne tragen,Anna Weidenholzer,Deutscher Buchpreis,Longlist,3957573602,10/17/2016,9783957573605
2017,Die Hauptstadt,Robert Menasse,Deutscher Buchpreis,Winner,3518735829,10/9/2017,9783518735824
2017,Romeo oder Julia,Gerhard Falkner,Deutscher Buchpreis,Shortlist,3827079438,10/9/2017,9783827079435
2017,Das Floß der Medusa,Franzobel,Deutscher Buchpreis,Shortlist,3552058435,10/9/2017,9783552058439
2017,Schlafende Sonne,Thomas Lehr,Deutscher Buchpreis,Shortlist,3446256474,10/9/2017,9783446256477
2017,Die Kieferninseln,Marion Poschmann,Deutscher Buchpreis,Shortlist,351873735X,10/9/2017,9783518737354
2017,Außer sich,Sasha Marianna Salzmann,Deutscher Buchpreis,Shortlist,3518737589,10/9/2017,9783518737583
2017,Lichter als der Tag,Mirko Bonné,Deutscher Buchpreis,Longlist,3895614084,10/9/2017,9783895614088
2017,"Schau mich an, wenn ich mit dir rede!",Monika Helfer,Deutscher Buchpreis,Longlist,3990271555,10/9/2017,9783990271551
2017,Das Jahr der Frauen,Christoph Höhtker,Deutscher Buchpreis,Longlist,3863371186,10/9/2017,9783863371180
2017,Kraft,Jonas Lüscher,Deutscher Buchpreis,Longlist,3406705324,10/9/2017,9783406705328
2017,Flugschnee,Birgit Müller-Wieland,Deutscher Buchpreis,Longlist,3701362483,10/9/2017,9783701362486
2017,Schreckliche Gewalten,Jakob Nolte,Deutscher Buchpreis,Longlist,3957574277,10/9/2017,9783957574275
2017,Nach Onkalo,Kerstin Preiwuß,Deutscher Buchpreis,Longlist,3827079349,10/9/2017,9783827079343
2017,Phantome,Robert Prosser,Deutscher Buchpreis,Longlist,3843716471,10/9/2017,9783843716475
2017,Wiener Straße,Sven Regener,Deutscher Buchpreis,Longlist,3462317490,10/9/2017,9783462317497
2017,Peter Holtz,Ingo Schulze,Deutscher Buchpreis,Longlist,3104901317,10/9/2017,9783104901312
2017,Das Singen der Sirenen,Michael Wildenhain,Deutscher Buchpreis,Longlist,3608108807,10/9/2017,9783608108804
2017,Walter Nowak bleibt liegen,Julia Wolf,Deutscher Buchpreis,Longlist,3627022432,10/9/2017,9783627022433
2017,Katie,Christine Wunnicke,Deutscher Buchpreis,Longlist,3946334180,10/9/2017,9783946334187
2017,Evangelio,Feridun Zaimoglu,Deutscher Buchpreis,Longlist,3462316702,10/9/2017,9783462316704
2018,Archipel,Inger-Maria Mahlke,Deutscher Buchpreis,Winner,3498042246,10/8/2018,9783498042240
2018,Nachtleuchten,María Cecilia Barbetta,Deutscher Buchpreis,Shortlist,3104904103,10/8/2018,9783104904108
2018,Sechs Koffer,Maxim Biller,Deutscher Buchpreis,Shortlist,3462319094,10/8/2018,9783462319095
2018,Die Katze und der General,Nino Haratischwili,Deutscher Buchpreis,Shortlist,3627022645,10/8/2018,9783627022648
2018,Der Vogelgott,Susanne Röckel,Deutscher Buchpreis,Shortlist,3442718716,10/8/2018,9783442718719
2018,Gott der Barbaren,Stephan Thome,Deutscher Buchpreis,Shortlist,3518759086,10/8/2018,9783518759080
2018,"Lebt wohl, Ihr Genossen und Geliebten!",Carmen-Francesca Banciu,Deutscher Buchpreis,Longlist,3962580239,10/8/2018,9783962580230
2018,Wie kommt der Krieg ins Kind,Susanne Fritz,Deutscher Buchpreis,Longlist,3835342444,10/8/2018,9783835342446
2018,Unter der Drachenwand,Arno Geiger,Deutscher Buchpreis,Longlist,3446259384,10/8/2018,9783446259386
2018,Die Gewitterschwimmerin,Franziska Hauser,Deutscher Buchpreis,Longlist,3732557669,10/8/2018,9783732557660
2018,Bungalow,Helene Hegemann,Deutscher Buchpreis,Longlist,3446261508,10/8/2018,9783446261501
2018,Wie hoch die Wasser steigen,Anja Kampmann,Deutscher Buchpreis,Longlist,3446259414,10/8/2018,9783446259416
2018,Jahre später,Angelika Klüssendorf,Deutscher Buchpreis,Longlist,3462318071,10/8/2018,9783462318074
2018,Ein schönes Paar,Gert Loschütz,Deutscher Buchpreis,Longlist,373176198X,10/8/2018,9783731761983
2018,Hier ist noch alles möglich,Gianna Molinari,Deutscher Buchpreis,Longlist,3841216188,10/8/2018,9783841216182
2018,Heimkehr nach Fukushima,Adolf Muschg,Deutscher Buchpreis,Longlist,3406727034,10/8/2018,9783406727030
2018,Hysteria,Eckhart Nickel,Deutscher Buchpreis,Longlist,3492992579,10/8/2018,9783492992572
2018,Sültzrather,Josef Oberhollenzer,Deutscher Buchpreis,Longlist,3990371401,10/8/2018,9783990371404
2018,Dunkle Zahlen,Matthias Senkel,Deutscher Buchpreis,Longlist,3957575796,10/8/2018,9783957575791
2018,Eine dieser Nächte,Christina Viragh,Deutscher Buchpreis,Longlist,3038209562,10/8/2018,9783038209560
2019,Herkunft,Saša Stanišić,Deutscher Buchpreis,Winner,3641163242,10/14/2019,9783641163242
2019,Das flüssige Land,Raphaela Edelbauer,Deutscher Buchpreis,Shortlist,3608191968,10/14/2019,9783608191967
2019,Kintsugi,Miku Sophie Kühmel,Deutscher Buchpreis,Shortlist,3104911126,10/14/2019,9783104911120
2019,Nicht wie ihr,Tonio Schachinger,Deutscher Buchpreis,Shortlist,3218011906,10/14/2019,9783218011907
2019,Winterbienen,Norbert Scheuer,Deutscher Buchpreis,Shortlist,3406739644,10/14/2019,9783406739644
2019,Brüder,Jackie Thomae,Deutscher Buchpreis,Shortlist,3446265090,10/14/2019,9783446265097
2019,Schutzzone,Nora Bossong,Deutscher Buchpreis,Longlist,3763271783,10/14/2019,9783763271788
2019,Der junge Doktorand,Jan Peter Bremer,Deutscher Buchpreis,Longlist,3827079926,10/14/2019,9783827079923
2019,Cherubino,Andrea Grill,Deutscher Buchpreis,Longlist,3552059644,10/14/2019,9783552059641
2019,Miroloi,Karen Köhler,Deutscher Buchpreis,Longlist,3446264906,10/14/2019,9783446264908
2019,Vater unser,Angela Lehner,Deutscher Buchpreis,Longlist,3446263055,10/14/2019,9783446263055
2019,Gelenke des Lichts,Emanuel Maeß,Deutscher Buchpreis,Longlist,3835343475,10/14/2019,9783835343474
2019,Die Leben der Elena Silber,Alexander Osang,Deutscher Buchpreis,Longlist,3596704146,10/14/2019,9783596704149
2019,Hier sind Löwen,Katerina Poladjan,Deutscher Buchpreis,Longlist,3104908753,10/14/2019,9783104908755
2019,Der Große Garten,Lola Randl,Deutscher Buchpreis,Longlist,3957577454,10/14/2019,9783957577450
2019,Die untalentierte Lügnerin,Eva Schmidt,Deutscher Buchpreis,Longlist,3990271687,10/14/2019,9783990271681
2019,Flammenwand,Marlene Streeruwitz,Deutscher Buchpreis,Longlist,3104908877,10/14/2019,9783104908878
2019,Der Sommer meiner Mutter,Ulrich Woelk,Deutscher Buchpreis,Longlist,3406734502,10/14/2019,9783406734502
2019,Wo wir waren,Norbert Zähringer,Deutscher Buchpreis,Longlist,3644053111,10/14/2019,9783644053113
2019,Mobbing Dick,Tom Zürcher,Deutscher Buchpreis,Longlist,390619583X,10/14/2019,9783906195834
2020,"Annette, ein Heldinnenepos",Anne Weber,Deutscher Buchpreis,Winner,3751800131,10/12/2020,9783751800136
2020,Serpentinen,Bov Bjerg,Deutscher Buchpreis,Shortlist,3843722870,10/12/2020,9783843722872
2020,Aus der Zuckerfabrik,Dorothee Elmiger,Deutscher Buchpreis,Shortlist,3446268480,10/12/2020,9783446268487
2020,Herzfaden,Thomas Hettche,Deutscher Buchpreis,Shortlist,3462321064,10/12/2020,9783462321067
2020,Streulicht,Deniz Ohde,Deutscher Buchpreis,Shortlist,3518753495,10/12/2020,9783518753491
2020,Die Dame mit der bemalten Hand,Christine Wunnicke,Deutscher Buchpreis,Shortlist,3946334830,10/12/2020,9783946334835
2020,Die Infantin trägt den Scheitel links,Helena Adler,Deutscher Buchpreis,Longlist,3990271776,10/12/2020,9783990271773
2020,Ich an meiner Seite,Birgit Birnbacher,Deutscher Buchpreis,Longlist,3552059938,10/12/2020,9783552059931
2020,Goldene Jahre,Arno Camenisch,Deutscher Buchpreis,Longlist,390605036X,10/12/2020,9783906050362
2020,Malé,Roman Ehrlich,Deutscher Buchpreis,Longlist,3104902003,10/12/2020,9783104902005
2020,Herzklappen von Johnson & Johnson,Valerie Fritsch,Deutscher Buchpreis,Longlist,3518764640,10/12/2020,9783518764640
2020,Der Halbbart,Charles Lewinsky,Deutscher Buchpreis,Longlist,3257611358,10/12/2020,9783257611359
2020,Allegro Pastell,Leif Randt,Deutscher Buchpreis,Longlist,3462320343,10/12/2020,9783462320343
2020,Triceratops,Stephan Roiss,Deutscher Buchpreis,Longlist,3218012457,10/12/2020,9783218012454
2020,Der letzte Satz,Robert Seethaler,Deutscher Buchpreis,Longlist,3446268758,10/12/2020,9783446268753
2020,Bis wieder einer weint,Eva Sichelschmidt,Deutscher Buchpreis,Longlist,3644002045,10/12/2020,9783644002043
2020,1000 Serpentinen Angst,Olivia Wenzel,Deutscher Buchpreis,Longlist,3104909512,10/12/2020,9783104909516
2020,Inniger Schiffbruch,Frank Witzel,Deutscher Buchpreis,Longlist,3957579058,10/12/2020,9783957579058
2020,Die Unschärfe der Welt,Iris Wolff,Deutscher Buchpreis,Longlist,3608984860,10/12/2020,9783608984866
2020,Mission Pflaumenbaum,Jens Wonneberger,Deutscher Buchpreis,Longlist,3990141945,10/12/2020,9783990141946
2021,Blaue Frau,Antje Rávik Strubel,Deutscher Buchpreis,Winner,3104914486,10/18/2021,9783104914480
2021,Der zweite Jakob,Norbert Gstrein,Deutscher Buchpreis,Shortlist,3446269894,10/18/2021,9783446269897
2021,Vati,Monika Helfer,Deutscher Buchpreis,Shortlist,3446269908,10/18/2021,9783446269903
2021,Eurotrash,Christian Kracht,Deutscher Buchpreis,Shortlist,3462321250,10/18/2021,9783462321258
2021,Zandschower Klinken,Thomas Kunst,Deutscher Buchpreis,Shortlist,3518767763,10/18/2021,9783518767764
2021,Identitti,Mithu Sanyal,Deutscher Buchpreis,Shortlist,3446269991,10/18/2021,9783446269996
2021,Mitgift,Henning Ahrens,Deutscher Buchpreis,Longlist,3608116729,10/18/2021,9783608116724
2021,Drei Kameradinnen,Shida Bazyar,Deutscher Buchpreis,Longlist,346231937X,10/18/2021,9783462319378
2021,Gentzen oder: Betrunken aufräumen,Dietmar Dath,Deutscher Buchpreis,Longlist,3751800360,10/18/2021,9783751800365
2021,Die Eroberung Amerikas,Franzobel,Deutscher Buchpreis,Longlist,3552072403,10/18/2021,9783552072404
2021,Der versperrte Weg,Georges-Arthur Goldschmidt,Deutscher Buchpreis,Longlist,3835346873,10/18/2021,9783835346871
2021,Die nicht sterben,Dana Grigorcea,Deutscher Buchpreis,Longlist,3641263824,10/18/2021,9783641263829
2021,Vater und ich,Dilek Güngör,Deutscher Buchpreis,Longlist,3957325056,10/18/2021,9783957325051
2021,Die Nibelungen,Felicitas Hoppe,Deutscher Buchpreis,Longlist,3104016151,10/18/2021,9783104016153
2021,Zu den Elefanten,Peter Karoshi,Deutscher Buchpreis,Longlist,370118187X,10/18/2021,9783701181872
2021,Besichtigung eines Unglücks,Gert Loschütz,Deutscher Buchpreis,Longlist,373176198X,10/18/2021,9783731761983
2021,Der Himmel vor hundert Jahren,Yulia Marfutova,Deutscher Buchpreis,Longlist,3644007047,10/18/2021,9783644007048
2021,Im Menschen muss alles herrlich sein,Sasha Marianna Salzmann,Deutscher Buchpreis,Longlist,3518737589,10/18/2021,9783518737583
2021,Mein Lieblingstier heißt Winter,Ferdinand Schmalz,Deutscher Buchpreis,Longlist,3103974000,10/18/2021,9783103974003
2021,Es ist immer so schön mit dir,Heinz Strunk,Deutscher Buchpreis,Longlist,3644001561,10/18/2021,9783644001565
2022,Blutbuch,Kim de l’Horizon,Deutscher Buchpreis,Winner,3832182608,10/17/2022,9783832182601
2022,Dschinns,Fatma Aydemir,Deutscher Buchpreis,Shortlist,3446273336,10/17/2022,9783446273337
2022,Nebenan,Kristine Bilkau,Deutscher Buchpreis,Shortlist,364119315X,10/17/2022,9783641193157
2022,Lügen über meine Mutter,Daniela Dröscher,Deutscher Buchpreis,Shortlist,346200199X,10/17/2022,9783462001990
2022,Trottel,Jan Faktor,Deutscher Buchpreis,Shortlist,3462302469,10/17/2022,9783462302462
2022,Spitzweg,Eckhart Nickel,Deutscher Buchpreis,Shortlist,3492601553,10/17/2022,9783492601559
2022,Freudenberg,Carl-Christian Elze,Deutscher Buchpreis,Longlist,3942375583,10/17/2022,9783942375580
2022,Auf See,Theresia Enzensberger,Deutscher Buchpreis,Longlist,3446275576,10/17/2022,9783446275577
2022,Aufruhr der Meerestiere,Marie Gamillscheg,Deutscher Buchpreis,Longlist,3641215609,10/17/2022,9783641215606
2022,Ein simpler Eingriff,Yael Inokai,Deutscher Buchpreis,Longlist,3446273638,10/17/2022,9783446273634
2022,Wilderer,Reinhard Kaiser-Mühlecker,Deutscher Buchpreis,Longlist,3104914540,10/17/2022,9783104914541
2022,Geschichte eines Kindes,Anna Kim,Deutscher Buchpreis,Longlist,3518772325,10/17/2022,9783518772324
2022,Rombo,Esther Kinsky,Deutscher Buchpreis,Longlist,3518772333,10/17/2022,9783518772331
2022,Dagegen die Elefanten!,Dagmar Leupold,Deutscher Buchpreis,Longlist,3990271849,10/17/2022,9783990271841
2022,In Dschungeln. In Wüsten. Im Krieg.,Gabriele Riedle,Deutscher Buchpreis,Longlist,3841231683,10/17/2022,9783841231680
2022,153 Formen des Nichtseins,Slata Roschal,Deutscher Buchpreis,Longlist,3641319935,10/17/2022,9783641319939
2022,Kangal,Anna Yeliz Schentke,Deutscher Buchpreis,Longlist,3104913927,10/17/2022,9783104913926
2022,Phlox,Jochen Schmidt,Deutscher Buchpreis,Longlist,3406825494,10/17/2022,9783406825491
2022,Eine Liebe in Pjöngjang,Andreas Stichmann,Deutscher Buchpreis,Longlist,3644013063,10/17/2022,9783644013063
2022,Ein Sommer in Niendorf,Heinz Strunk,Deutscher Buchpreis,Longlist,3644013055,10/17/2022,9783644013056
2023,Echtzeitalter,Tonio Schachinger,Deutscher Buchpreis,Winner,3499010119,10/16/2023,9783499010118
2023,Muna oder Die Hälfte des Lebens,Terézia Mora,Deutscher Buchpreis,Shortlist,3641172446,10/16/2023,9783641172442
2023,Vatermal,Necati Öziri,Deutscher Buchpreis,Shortlist,3843730113,10/16/2023,9783843730112
2023,Die Möglichkeit von Glück,Anne Rabe,Deutscher Buchpreis,Shortlist,3608121617,10/16/2023,9783608121612
2023,Maman,Sylvie Schenk,Deutscher Buchpreis,Shortlist,3446276998,10/16/2023,9783446276994
2023,Drifter,Ulrike Sterblich,Deutscher Buchpreis,Shortlist,3644015139,10/16/2023,9783644015135
2023,Birobidschan,Tomer Dotan-Dreyfus,Deutscher Buchpreis,Longlist,3863913825,10/16/2023,9783863913823
2023,Die Inkommensurablen,Raphaela Edelbauer,Deutscher Buchpreis,Longlist,3608191968,10/16/2023,9783608191967
2023,Der große Wunsch,Sherko Fatah,Deutscher Buchpreis,Longlist,3641302145,10/16/2023,9783641302146
2023,Paradise Garden,Elena Fischer,Deutscher Buchpreis,Longlist,325761392X,10/16/2023,9783257613926
2023,Gittersee,Charlotte Gneuß,Deutscher Buchpreis,Longlist,3104914109,10/16/2023,9783104914107
2023,Weil da war etwas im Wasser,Luca Kieser,Deutscher Buchpreis,Longlist,3711754929,10/16/2023,9783711754929
2023,Risse,Angelika Klüssendorf,Deutscher Buchpreis,Longlist,3492059910,10/16/2023,9783492059916
2023,Ein Hund kam in die Küche,Sepp Mall,Deutscher Buchpreis,Longlist,3701183082,10/16/2023,9783701183081
2023,Doppler,Thomas Oláh,Deutscher Buchpreis,Longlist,364132274X,10/16/2023,9783641322748
2023,Unschärfen der Liebe,Angelika Overath,Deutscher Buchpreis,Longlist,3641257131,10/16/2023,9783641257132
2023,Kochen im falschen Jahrhundert,Teresa Präauer,Deutscher Buchpreis,Longlist,3835349953,10/16/2023,9783835349957
2023,Laufendes Verfahren,Kathrin Röggla,Deutscher Buchpreis,Longlist,310491608X,10/16/2023,9783104916088
2023,Monde vor der Landung,Clemens J. Setz,Deutscher Buchpreis,Longlist,3518474154,10/16/2023,9783518474150
2023,Südstern,Tim Staffel,Deutscher Buchpreis,Longlist,3985680957,10/16/2023,9783985680955
2024,"Hey guten Morgen, wie geht es dir?",Martina Hefter,Deutscher Buchpreis,Winner,3608123539,10/14/2024,9783608123531
2024,Hasenprosa,Maren Kames,Deutscher Buchpreis,Shortlist,3518431684,10/14/2024,9783518431689
2024,Die Projektoren,Clemens Meyer,Deutscher Buchpreis,Shortlist,3100022467,10/14/2024,9783100022462
2024,Vierundsiebzig,Ronya Othmann,Deutscher Buchpreis,Shortlist,3498003615,10/14/2024,9783498003616
2024,Von Norden rollt ein Donner,Markus Thielemann,Deutscher Buchpreis,Shortlist,3406822487,10/14/2024,9783406822483
2024,Lichtungen,Iris Wolff,Deutscher Buchpreis,Shortlist,3608122850,10/14/2024,9783608122855
2024,Reichskanzlerplatz,Nora Bossong,Deutscher Buchpreis,Longlist,3518780239,10/14/2024,9783518780237
2024,Seinetwegen,Zora del Buono,Deutscher Buchpreis,Longlist,340682241X,10/14/2024,9783406822414
2024,Die Passagierin,Franz Friedrich,Deutscher Buchpreis,Longlist,3104915164,10/14/2024,9783104915166
2024,Heilung,Timon Karl Kaleyta,Deutscher Buchpreis,Longlist,3492607446,10/14/2024,9783492607445
2024,Das Philosophenschiff,Michael Köhlmeier,Deutscher Buchpreis,Longlist,3446254161,10/14/2024,9783446254169
2024,Mein drittes Leben,Daniela Krien,Deutscher Buchpreis,Longlist,3257612001,10/14/2024,9783257612004
2024,Nostalgia,André Kubiczek,Deutscher Buchpreis,Longlist,3644016925,10/14/2024,9783644016927
2024,Das Wohlbefinden,Ulla Lenze,Deutscher Buchpreis,Longlist,3608123466,10/14/2024,9783608123463
2024,Toni & Toni,Max Oravin,Deutscher Buchpreis,Longlist,3423432314,10/14/2024,9783423432313
2024,Antichristie,Mithu Sanyal,Deutscher Buchpreis,Longlist,3446280847,10/14/2024,9783446280847
2024,Iowa,Stefanie Sargnagel,Deutscher Buchpreis,Longlist,3644015783,10/14/2024,9783644015784
2024,Nochmal von vorne,Dana von Suffrin,Deutscher Buchpreis,Longlist,3462304445,10/14/2024,9783462304442
2024,Die schönste Version,Ruth-Maria Thomas,Deutscher Buchpreis,Longlist,3498006959,10/14/2024,9783498006952
2024,Findet mich,Doris Wirth,Deutscher Buchpreis,Longlist,3907406117,10/14/2024,9783907406113
,,,,,,,
2009,Wolf Hall,Hilary Mantel,Booker Prize,Winner,1474296513,10/8/2009,9781474296519
2009,The Children's Book,A. S. Byatt,Booker Prize,Shortlist,1409077233,10/8/2009,9781409077237
2009,Summertime,J. M. Coetzee,Booker Prize,Shortlist,1409088626,10/8/2009,9781409088622
2009,The Quickening Maze,Adam Foulds,Booker Prize,Shortlist,1409077179,10/8/2009,9781409077176
2009,The Glass Room,Simon Mawer,Booker Prize,Shortlist,0748115684,10/8/2009,9780748115686
2009,How to Paint a Dead Man,Sarah Hall,Booker Prize,Longlist,0571254535,10/8/2009,9780571254538
2009,The Wilderness,Samantha Harvey,Booker Prize,Longlist,,10/8/2009,
2009,Me Cheeta,James Lever,Booker Prize,Longlist,0062047191,10/8/2009,9780062047199
2009,Not Untrue & Not Unkind,Ed O’Loughlin,Booker Prize,Longlist,0199588872,10/8/2009,9780199588879
2009,Heliopolis,James Scudamore,Booker Prize,Longlist,1407087398,10/8/2009,9781407087399
2009,Brooklyn,Colm Tóibín,Booker Prize,Longlist,1501106473,10/8/2009,9781501106477
2009,Love and Summer,William Trevor,Booker Prize,Longlist,1526112388,10/8/2009,9781526112385
2009,The Little Stranger,Sarah Waters,Booker Prize,Shortlist,0748110992,10/8/2009,9780748110995
2010,The Finkler Question,Howard Jacobson,Booker Prize,Winner,1408812045,10/12/2010,9781408812044
2010,Parrot and Olivier in America,Peter Carey,Booker Prize,Shortlist,0571253334,10/12/2010,9780571253333
2010,Room,Emma Donoghue,Booker Prize,Shortlist,135041915X,10/12/2010,9781350419155
2010,In a Strange Room,Damon Galgut,Booker Prize,Shortlist,1848873255,10/12/2010,9781848873254
2010,The Long Song,Andrea Levy,Booker Prize,Shortlist,342343192X,10/12/2010,9783423431927
2010,C,Tom McCarthy,Booker Prize,Shortlist,3110369486,10/12/2010,9783110369489
2010,The Betrayal,Helen Dunmore,Booker Prize,Longlist,0141946032,10/12/2010,9780141946030
2010,The Thousand Autumns of Jacob de Zoet,David Mitchell,Booker Prize,Longlist,1848945035,10/12/2010,9781848945036
2010,February,Lisa Moore,Booker Prize,Longlist,0802197906,10/12/2010,9780802197900
2010,Skippy Dies,Paul Murray,Booker Prize,Longlist,0141943890,10/12/2010,9780141943893
2010,Trespass,Rose Tremain,Booker Prize,Longlist,331957129X,10/12/2010,9783319571294
2010,The Slap,Christos Tsiolkas,Booker Prize,Longlist,1554688396,10/12/2010,9781554688395
2010,The Stars in the Bright Sky,Alan Warner,Booker Prize,Longlist,0224071270,10/12/2010,9780224071277
2011,The Sense of an Ending,Julian Barnes,Booker Prize,Winner,1446467627,10/18/2011,9781446467626
2011,Jamrach's Menagerie,Carol Birch,Booker Prize,Shortlist,0857860410,10/18/2011,9780857860415
2011,The Sisters Brothers,Patrick deWitt,Booker Prize,Shortlist,1847083722,10/18/2011,9781847083722
2011,Half Blood Blues,Esi Edugyan,Booker Prize,Shortlist,1476652600,10/18/2011,9781476652603
2011,Pigeon English,Stephen Kelman,Booker Prize,Shortlist,1408810646,10/18/2011,9781408810644
